Date,BankCredit
2005-09-02,1214078.5845
2005-09-16,1227764.6826
2005-09-30,1276238.3022
2005-10-14,1271378.0387
2005-10-28,1287324.3237
2005-11-11,1301920.6989
2005-11-25,1307241.2004
2005-12-09,1323909.2624
2005-12-23,1339096.2759
2006-01-06,1349760.9619
2006-01-20,1362173.1858
2006-02-03,1386263.6991
2006-02-17,1399304.6881
2006-03-03,1422359.8463
2006-03-17,1447665.8869
2006-03-31,1507077.0789
2006-04-14,1487114.0654
2006-04-28,1485777.7113
2006-05-12,1487646.4775
2006-05-26,1493432.8078
2006-06-09,1507105.7386
2006-06-23,1521127.2064
2006-07-07,1540894.951
2006-07-21,1548107.3286
2006-08-04,1564655.1208
2006-08-18,1574027.18
2006-09-01,1596214.4795
2006-09-15,1608218.8235
2006-09-29,1661491.3407
2006-10-13,1637841.2199
2006-10-27,1654089.1424
2006-11-10,1671771.0493
2006-11-24,1683256.6905
2006-12-08,1711565.0344
2006-12-22,1735704.5482
2007-01-05,1766162.0395
2007-01-19,1768963.839
2007-02-02,1798112.838
2007-02-16,1813665.7675
2007-03-02,1847009.4859
2007-03-16,1868653.3594
2007-03-30,1931189.2858
2007-04-13,1898850.5651
2007-04-27,1887836.8994
2007-05-11,1888570.924
2007-05-25,1883719.7667
2007-06-08,1890754.6716
2007-06-22,1894841.3725
2007-07-06,1916377.4708
2007-07-20,1914054.6172
2007-08-03,1929402.3424
2007-08-17,1938231.4546
2007-08-31,1962309.2308
2007-09-14,1976138.7758
2007-09-28,2037479.5535
2007-10-12,2015469.0252
2007-10-26,2026708.5728
2007-11-09,2063226.2513
2007-11-23,2072745.7092
2007-12-07,2090228.4034
2007-12-21,2124491.3853
2008-01-04,2144017.2319
2008-01-18,2165562.754
2008-02-01,2210316.3967
2008-02-15,2214019.9129
2008-02-29,2254760.2189
2008-03-14,2277639.5125
2008-03-28,2361913.5947
2008-04-11,2332808.2999
2008-04-25,2325134.0405
2008-05-09,2348100.4502
2008-05-23,2361206.7897
2008-06-06,2383343.6738
2008-06-20,2393238.7392
2008-07-04,2405598.9812
2008-07-18,2407307.6165
2008-08-01,2424203.7947
2008-08-15,2438816.0284
2008-08-29,2460753.8051
2008-09-12,2495557.919
2008-09-26,2551025.8389
2008-10-10,2609688.9934
2008-10-24,2615980.5598
2008-11-07,2634036.6695
2008-11-21,2633180.4811
2008-12-05,2642221.2003
2008-12-19,2643733.9314
2009-01-02,2657657.6889
2009-01-16,2642076.5095
2009-01-30,2637780.4735
2009-02-13,2652003.8795
2009-02-27,2667928.2282
2009-03-13,2692759.0612
2009-03-27,2775549.3545
2009-04-10,2769159.4155
2009-04-24,2744489.5816
2009-05-08,2752996.1516
2009-05-22,2736452.2157
2009-06-05,2760218.4598
2009-06-19,2767986.0114
2009-07-03,2795567.3653
2009-07-17,2773500.9419
2009-07-31,2805224.2598
2009-08-14,2800504.3899
2009-08-28,2806740.8043
2009-09-11,2824536.8187
2009-09-25,2874670.483
2009-10-09,2888994.5658
2009-10-23,2868265.2872
2009-11-06,2893433.3503
2009-11-20,2899853.5144
2009-12-04,2922517.8115
2009-12-18,2942278.7972
2010-01-01,3024571.8207
2010-01-15,3010177.5674
2010-01-29,3031226.8995
2010-02-12,3054794.4338
2010-02-26,3092749.8436
2010-03-12,3129848.5309
2010-03-26,3244788.1942
2010-04-09,3243789.4722
2010-04-23,3215279.1402
2010-05-07,3230593.5118
2010-05-21,3232149.9751
2010-06-04,3292340.2222
2010-06-18,3315291.2993
2010-07-02,3408145.4098
2010-07-16,3364166.9073
2010-07-30,3379999.3896
2010-08-13,3367465.5466
2010-08-27,3353977.455
2010-09-10,3383405.8183
2010-09-24,3425228.4891
2010-10-08,3473059.0615
2010-10-22,3479498.8796
2010-11-05,3530396.2018
2010-11-19,3559896.3013
2010-12-03,3597600.7619
2010-12-17,3644569.0656
2010-12-31,3765372.154
2011-01-14,3720759.5589
2011-01-28,3737676.7516
2011-02-11,3787784.7442
2011-02-25,3813016.2242
2011-03-11,3857963.738
2011-03-25,3942082.6906
2011-04-08,3953291.5502
2011-04-22,3925446.6286
2011-05-06,3960121.9477
2011-05-20,3958008.3776
2011-06-03,3984288.5342
2011-06-17,4000924.4167
2011-07-01,4088134.9008
2011-07-15,4014385.9061
2011-07-29,4011368.3921
2011-08-12,4051352.2547
2011-08-26,4047630.2094
2011-09-09,4075192.8568
2011-09-23,4094825.458
2011-10-07,4149669.6149
2011-10-21,4151551.4085
2011-11-04,4181845.8434
2011-11-18,4188672.0967
2011-12-02,4236829.8853
2011-12-16,4268316.1567
2011-12-30,4366877.8873
2012-01-13,4334682.5587
2012-01-27,4352728.5011
2012-02-10,4382728.5089
2012-02-24,4409095.0682
2012-03-09,4488766.0894
2012-03-23,4611851.8807
2012-04-06,4693406.796
2012-04-20,4619249.3444
2012-05-04,4645727.1918
2012-05-18,4649923.869
2012-06-01,4714265.2741
2012-06-15,4714484.4151
2012-06-29,4763038.3525
2012-07-13,4725980.5797
2012-07-27,4704497.4198
2012-08-10,4725018.4142
2012-08-24,4723264.3179
2012-09-07,4749917.4176
2012-09-21,4763740.2126
2012-10-05,4813991.6087
2012-10-19,4813562.4104
2012-11-02,4859577.5165
2012-11-16,4892514.0187
2012-11-30,4958790.3076
2012-12-14,4961524.6157
2012-12-28,5025872.0748
2013-01-11,5041328.66753
2013-01-25,5050914.64024
2013-02-08,5099541.8888
2013-02-22,5127263.59751
2013-03-08,5178577.22845
2013-03-22,5260458.61638
2013-04-05,5349039.607
2013-04-19,5281172.5203
2013-05-03,5329811.55242
2013-05-17,5319878.26749
